genero,artista,cancion,popularidad,ano
reggaeton,Manuel Turizo,Sigueme Besando Asi,69,2024
reggaeton,Arcángel,Pa' Que La Pases Bien,80,2008
reggaeton,Arcángel,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),79,2016
reggaeton,Arcángel,La Jumpa,71,2022
reggaeton,Arcángel,Hace Mucho Tiempo,74,2013
reggaeton,Arcángel,Me Prefieres A Mi,76,2012
reggaeton,Arcángel,Me Ama Me Odia,76,2016
reggaeton,Arcángel,Si Se Da - Remix,76,2019
reggaeton,Arcángel,Por Vos,74,2025
reggaeton,Arcángel,Me Acostumbre (feat. Bad Bunny),73,2017
reggaeton,Arcángel,ALV,73,2023
reggaeton,Camilo,Una Vida Pasada,79,2024
reggaeton,Camilo,Desconocidos,80,2019
reggaeton,Camilo,Querida Yo,79,2025
reggaeton,Camilo,Despeinada,78,2020
reggaeton,Camilo,Ni Me Debes Ni Te Debo,78,2023
reggaeton,Camilo,Machu Picchu,73,2021
reggaeton,Camilo,Tattoo - Remix with Camilo,74,2020
reggaeton,Camilo,La Mitad,76,2020
reggaeton,Camilo,El Mismo Aire - con Pablo Alborán,75,2020
reggaeton,Camilo,Me Toca A Mí,75,2025
reggaeton,Beéle,La Plena - W Sound 05,90,2025
reggaeton,Beéle,mi refe,91,2024
reggaeton,Beéle,sobelove,85,2025
reggaeton,Beéle,Hasta Aquí Llegué,82,2024
reggaeton,Beéle,Volver,84,2025
reggaeton,Beéle,frente al mar,84,2024
reggaeton,Beéle,Vagabundo,82,2023
reggaeton,Beéle,morena,81,2023
reggaeton,Beéle,Loco,81,2019
reggaeton,Beéle,i miss you,78,2024
reggaeton,Farruko,Pepas,70,2021
reggaeton,Farruko,Diles,81,2016
reggaeton,Farruko,On My Way,71,2021
reggaeton,Farruko,Calma - Remix,67,2020
reggaeton,Farruko,Si Se Da - Remix,76,2019
reggaeton,Farruko,Passion Whine,74,2016
reggaeton,Farruko,Fantasias,74,2019
reggaeton,Farruko,Cositas Que Haciamos,62,2011
reggaeton,Farruko,Hola Beba,72,2010
reggaeton,Farruko,Si Me Dices Que Sí,71,2020
reggaeton,El Malilla,BEIBY - Remix,78,2024
reggaeton,El Malilla,Vaquero - Remix,76,2024
reggaeton,El Malilla,Mami Tú,76,2024
reggaeton,El Malilla,Mami Tú (Remix),74,2025
reggaeton,El Malilla,Dime,68,2024
reggaeton,El Malilla,Desnudate - Remix,71,2024
reggaeton,El Malilla,Avión Privado,69,2024
reggaeton,El Malilla,B de Bellako,66,2024
reggaeton,El Malilla,G Low Kitty,65,2023
reggaeton,El Malilla,La Motora,67,2024
reggaeton,Danny Ocean,Imagínate,89,2024
reggaeton,Danny Ocean,Me Rehúso,82,2019
reggaeton,Danny Ocean,VITAMINA,80,2025
reggaeton,Danny Ocean,Priti,79,2025
reggaeton,Danny Ocean,Fuera del mercado,79,2022
reggaeton,Danny Ocean,Mónaco,78,2021
reggaeton,Danny Ocean,Dembow,73,2019
reggaeton,Danny Ocean,Volare,75,2022
reggaeton,Danny Ocean,Ley universal,73,2024
reggaeton,Danny Ocean,AMOR,71,2024
reggaeton,El Bogueto,Nena Moxita,77,2024
reggaeton,El Bogueto,Cuando No Era Cantante,75,2024
reggaeton,El Bogueto,Vaquero - Remix,76,2024
reggaeton,El Bogueto,Desnudate - Remix,71,2024
reggaeton,El Bogueto,Can Am,67,2024
reggaeton,El Bogueto,G Low Kitty,65,2023
reggaeton,El Bogueto,Panas,65,2025
reggaeton,El Bogueto,La Motora,67,2024
reggaeton,El Bogueto,Brinca - Spotify Singles,67,2024
reggaeton,El Bogueto,Otro Show,66,2023
reggaeton,Wisin & Yandel,Sexy Movimiento,78,2007
reggaeton,Wisin & Yandel,Rakata,76,2005
reggaeton,Wisin & Yandel,El Telefono,75,2006
reggaeton,Wisin & Yandel,Me Estas Tentando,75,2009
reggaeton,Wisin & Yandel,Noche De Sexo,76,2005
reggaeton,Wisin & Yandel,Abusadora,74,2009
reggaeton,Wisin & Yandel,Nadie Como Tu,73,2006
reggaeton,Wisin & Yandel,Pam Pam,73,2018
reggaeton,Wisin & Yandel,Algo Me Gusta De Ti,75,2012
reggaeton,Wisin & Yandel,Noche De Entierro,75,2006
reggaeton,JHAYCO,DÁKITI,79,2020
reggaeton,JHAYCO,No Me Conoce - Remix,84,2019
reggaeton,JHAYCO,SI NO ES CONTIGO - REMIX,83,2024
reggaeton,JHAYCO,Tarot,80,2022
reggaeton,JHAYCO,CÓMO SE SIENTE - Remix,78,2020
reggaeton,JHAYCO,512,75,2021
reggaeton,JHAYCO,MEMORIAS,75,2022
